Fold,Seed,Tier,Classifier,BP_Noise_mmHg,Missing_Rate_Target,Actual_Missing_Rate,Temp_Bias_Low,Temp_Bias_High,Accuracy,Macro F1,High Risk Recall,Brier Score
3,88,Tier 1 (Mild),XGBoost,5.0,0.05,0.0714,-0.5,-0.1,0.7487684729064039,0.7529470529470529,0.8148148148148148,0.3634743672084108
3,99,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0484,-0.5,-0.1,0.5862068965517241,0.5699410289574224,0.5925925925925926,0.5355908845593974
3,99,Tier 1 (Mild),Random Forest,5.0,0.05,0.0484,-0.5,-0.1,0.8078817733990148,0.8115905647377138,0.8703703703703703,0.2852814655363112
3,99,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0484,-0.5,-0.1,0.6502463054187192,0.628333915676683,0.7407407407407407,0.4878014636328752
3,99,Tier 1 (Mild),XGBoost,5.0,0.05,0.0484,-0.5,-0.1,0.7487684729064039,0.7528900386202659,0.8333333333333334,0.36571500290392706
3,111,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0608,-0.5,-0.1,0.5566502463054187,0.5409329601492736,0.5740740740740741,0.5397335094993934
3,111,Tier 1 (Mild),Random Forest,5.0,0.05,0.0608,-0.5,-0.1,0.7733990147783252,0.7737788871474365,0.7962962962962963,0.3167283346166526
3,111,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0608,-0.5,-0.1,0.6354679802955665,0.6131242704451427,0.7407407407407407,0.5092855643776087
3,111,Tier 1 (Mild),XGBoost,5.0,0.05,0.0608,-0.5,-0.1,0.7586206896551724,0.7605115516038103,0.7777777777777778,0.3706312037848556
3,11,Tier 2 (Moderate),Logistic Regression,10.0,0.15,0.1626,-1.0,-0.3,0.5960591133004927,0.5733083231039656,0.5740740740740741,0.5341088248973279
3,11,Tier 2 (Moderate),Random Forest,10.0,0.15,0.1626,-1.0,-0.3,0.7044334975369458,0.7051634768740032,0.8148148148148148,0.4117735388623494
